created_at,context_id,content
2025-09-03T22:33:55.766782,d470bef2-c490-420c-8aa4-e8ed154dad15,"Điều 16. Kê khai, nộp thuế"
2025-09-03T22:33:55.766782,b354b4e3-0632-4e3e-aeea-92eae0cb3ef3,[...]
2025-09-03T22:33:55.766782,8e39b540-b09b-4a90-afd0-b46f9ac9d7b0,"8. Nộp thuế, bù trừ và hoàn thuế"
2025-09-03T22:33:55.766782,5d1e069a-71d0-47de-91c8-a000d37deee9,a) Số thuế thu nhập doanh nghiệp bổ sung theo quy định về thuế tối thiểu toàn cầu được nộp vào ngân sách trung ương. Đơn vị hợp thành chịu trách nhiệm kê khai thực hiện nộp thuế thu nhập doanh nghiệp bổ sung theo quy định của pháp luật về quản lý thuế.
2025-09-03T22:33:55.766782,755236ac-d3ab-4ba2-bb12-6673ed5c67ab,Đơn vị hợp thành chịu trách nhiệm kê khai có trách nhiệm đối với khoản thuế thu nhập doanh nghiệp bổ sung theo quy định của pháp luật về quản lý thuế.
2025-09-03T22:33:55.766782,1b1d909e-4c66-4765-b144-ac2f2144f0c4,"b) Trường hợp đơn vị hợp thành chịu trách nhiệm kê khai có số tiền thuế phải nộp, tiền chậm nộp, tiền phạt liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu đã nộp lớn hơn số tiền thuế, tiền chậm nộp, tiền phạt phải nộp thì được bù trừ số tiền thuế, tiền chậm nộp, tiền phạt liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu nộp thừa với số tiền thuế, tiền chậm nộp, tiền phạt còn nợ liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu hoặc trừ vào số tiền thuế, tiền chậm nộp, tiền phạt phải nộp liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu của lần nộp thuế tiếp theo hoặc được hoàn trả số tiền thuế, tiền chậm nộp, tiền phạt nộp thừa khi người nộp thuế không còn nợ tiền thuế, tiền chậm nộp, tiền phạt liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu."
2025-09-03T22:33:55.766782,160cc369-92f3-4ca1-9e77-ed850f126426,[...]
2025-09-03T22:33:56.648636,ee9f62b9-37a7-4583-8dbd-2b4a64850a41,Điều 26. Chứng từ thanh toán không dùng tiền mặt
2025-09-03T22:33:56.648636,4f32fcb4-c442-4ac4-8225-325b387c707d,"Cơ sở kinh doanh phải có chứng từ thanh toán không dùng tiền mặt đối với hàng hóa, dịch vụ mua vào (bao gồm cả hàng hóa nhập khẩu) từ 05 triệu đồng trở lên đã bao gồm thuế giá trị gia tăng. Trong đó:"
2025-09-03T22:33:56.648636,98fa018d-3b03-427e-adb0-0df2804e1f13,[...]
2025-09-03T22:33:56.648636,ad0ba94c-3be9-44b3-bf4a-1318fb3e8819,2. Một số trường hợp đặc thù theo quy định tại điểm b khoản 2 Điều 14 Luật Thuế giá trị gia tăng bao gồm:
2025-09-03T22:33:56.648636,ee18f8cf-e10d-4b6d-8357-e3c2baec16cb,[...]
2025-09-03T22:33:56.648636,84d50e17-a20d-4ec6-b29e-8529066ae558,"g) Đối với hàng hóa, dịch vụ mua trả chậm, trả góp có giá trị hàng hóa, dịch vụ mua từ 05 triệu đồng trở lên, cơ sở kinh doanh căn cứ vào hợp đồng mua hàng hóa, dịch vụ bằng văn bản, hóa đơn giá trị gia tăng và chứng từ thanh toán không dùng tiền mặt của hàng hóa, dịch vụ mua trả chậm, trả góp để khấu trừ thuế giá trị gia tăng đầu vào. Trường hợp chưa có chứng từ thanh toán không dùng tiền mặt do chưa đến thời điểm thanh toán theo hợp đồng, phụ lục hợp đồng thì cơ sở kinh doanh vẫn được khấu trừ thuế giá trị gia tăng đầu vào. Trường hợp đến thời điểm thanh toán theo hợp đồng, phụ lục hợp đồng, cơ sở kinh doanh không có chứng từ thanh toán không dùng tiền mặt thì cơ sở kinh doanh phải kê khai, điều chỉnh giảm số thuế giá trị gia tăng đầu vào được khấu trừ đối với phần giá trị hàng hóa, dịch vụ không có chứng từ thanh toán không dùng tiền mặt vào kỳ tính thuế phát sinh nghĩa vụ thanh toán theo hợp đồng, phụ lục hợp đồng."
2025-09-03T22:33:56.648636,59333cea-bb17-4d7d-ae91-453d2cd8ba70,[...]
2025-09-03T22:34:01.289766,42e3b68e-4dce-4081-9d4a-c02d3fd707d7,"| Tải về tài liệu thẩm định dự thảo Nghị định |
|---|"
2025-09-03T22:34:02.777315,38655891-5020-46f3-bda7-5f70ea4b719a,"Điều 24. Các trường hợp cấp đổi, cấp lại thẻ căn cước"
2025-09-03T22:34:02.777315,534ec94f-2fe3-430c-a4c0-6628f0e2189c,1. Các trường hợp cấp đổi thẻ căn cước bao gồm:
2025-09-03T22:34:02.777315,bd66bae2-9a7d-453c-a407-8a9f3ab578de,a) Các trường hợp quy định tại khoản 1 Điều 21 của Luật này;
2025-09-03T22:34:02.777315,26ea1d2c-fac0-43eb-94d7-e19227914edd,"b) Thay đổi, cải chính thông tin về họ, chữ đệm, tên khai sinh; ngày, tháng, năm sinh;"
2025-09-03T22:34:02.777315,db06ad38-ec23-45d8-b4c6-0065d87f7196,"c) Thay đổi nhân dạng; bổ sung thông tin về ảnh khuôn mặt, vân tay; xác định lại giới tính hoặc chuyển đổi giới tính theo quy định của pháp luật;"
2025-09-03T22:34:02.777315,a7b3e6e1-aaa9-4409-8762-b0370b5bb143,d) Có sai sót về thông tin in trên thẻ căn cước;
2025-09-03T22:34:02.777315,a017ab5b-e27d-4173-ba65-f1c160875a31,đ) Theo yêu cầu của người được cấp thẻ căn cước khi thông tin trên thẻ căn cước thay đổi do sắp xếp đơn vị hành chính;
2025-09-03T22:34:02.777315,34864ec3-b211-4af5-b448-d9de007225e2,e) Xác lập lại số định danh cá nhân;
2025-09-03T22:34:02.777315,57948342-0cf2-4fdb-a56c-acd8ac714824,g) Khi người được cấp thẻ căn cước có yêu cầu.
