created_at,answer_id,question_id,content,order_index
2025-09-03T22:33:55.766782,30e6ab3e-cb47-421e-a118-2d26115029d9,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,"Tại khoản 8 Điều 16 Nghị định 236/2025/NĐ-CP quy định về kê khai, nộp thuế như sau:",1
2025-09-03T22:33:55.766782,95a1ec92-d000-4d4e-affa-b02a2fb4f8d3,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,"Theo đó, từ ngày 15/10/2025, thuế tối thiểu toàn cầu nhiều hơn mức phải nộp thì khoản nộp thừa sẽ được xử lý theo ba cách sau đây:",2
2025-09-03T22:33:55.766782,52555ea8-746c-4e89-90e8-b1d63f1262ee,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,- Được bù trừ với các khoản còn nợ liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu;,3
2025-09-03T22:33:55.766782,32353605-e149-4eb8-bb67-b70b6f4d96d7,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,- Trừ vào nghĩa vụ nộp thuế liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu của kỳ tiếp theo;,4
2025-09-03T22:33:55.766782,7e27b9ff-f8b5-4d04-9f7c-5edd48991ee8,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,"- Hoàn trả khi đơn vị không còn nợ nghĩa vụ thuế, tiền chậm nộp và tiền phạt liên quan đến thuế thu nhập doanh nghiệp bổ sung theo Quy định về thuế tối thiểu toàn cầu.",5
2025-09-03T22:33:55.766782,839ffff1-380b-4f2b-9bae-c286ccad380a,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,* Trên đây là Thông tin Xử lý khoản thuế tối thiểu toàn cầu nộp thừa từ 15/10/2025 thế nào?,6
2025-09-03T22:33:55.766782,ab93aab8-1cd9-4832-9154-7439b159206f,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,Xử lý khoản thuế tối thiểu toàn cầu nộp thừa từ 15/10/2025 thế nào? (Hình từ Internet),7
2025-09-03T22:33:55.766782,1fa43bcc-0393-4d13-b76a-6898e8158960,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,Xử lý khoản thuế tối thiểu toàn cầu nộp thừa từ 15/10/2025 thế nào? (Hình từ Internet),8
2025-09-03T22:33:55.766782,a4b42b85-d55c-4a57-a952-7986dc8710d4,06a088b4-c5f5-4173-b9d5-6f6301d3f172,Tại Điều 16 Nghị định 236/2025/NĐ-CP quy định hồ sơ khai thuế tối thiểu toàn cầu theo Nghị định 236 gồm:,1
2025-09-03T22:33:55.766782,e416ab0f-37c2-48d7-bedd-30502112fbc3,06a088b4-c5f5-4173-b9d5-6f6301d3f172,(1) Hồ sơ khai thuế theo Quy định về thu nhập doanh nghiệp bổ sung tối thiểu nội địa đạt chuẩn (QDMTT) bao gồm:,2
