created_at,field_directory,question_id,article_id,content
2025-09-03T22:33:55.766782,thue-phi-le-phi,62c4ac96-f763-4e1e-8ec5-3b32ea69d24b,20250903_223355,Xử lý khoản thuế tối thiểu toàn cầu nộp thừa từ 15/10/2025 thế nào?
2025-09-03T22:33:55.766782,thue-phi-le-phi,06a088b4-c5f5-4173-b9d5-6f6301d3f172,20250903_223355,Hồ sơ khai thuế tối thiểu toàn cầu theo Nghị định 236 gồm những gì?
2025-09-03T22:33:55.766782,thue-phi-le-phi,f8a980d9-9708-447b-a18e-94d9dc38c01d,20250903_223355,"Đồng tiền khai thuế, nộp thuế tối thiểu toàn cầu theo Nghị định 236 đươc quy định cụ thể ra sao?"
2025-09-03T22:33:56.648636,thue-phi-le-phi,efffee68-c523-45f7-9446-3acac7e03c87,20250903_223356,Quy định khấu trừ thuế GTGT đầu vào đối với hàng hóa trả góp như thế nào?
2025-09-03T22:33:56.648636,thue-phi-le-phi,715c5fa0-878a-414f-b801-d854c638a2fc,20250903_223356,Điều kiện khấu trừ thuế giá trị gia tăng đầu vào là gì?
2025-09-03T22:33:56.648636,thue-phi-le-phi,b3abf5b9-1d30-47d8-84ce-ca6bd8eefe5c,20250903_223356,Phương pháp khấu trừ thuế áp dụng đối với cơ sở kinh doanh nào?
2025-09-03T22:33:57.494042,thue-phi-le-phi,087adf2c-4162-4684-a22d-d8be451d1a74,20250903_223357,"Thông báo 5735 về gia hạn nộp thuế TTĐB, thuế GTGT, thuế TNDN và tiền thuê đất tại TPHCM thế nào?"
2025-09-03T22:33:57.494042,thue-phi-le-phi,37694f0a-d648-4bd5-8a08-b63159250b5b,20250903_223357,Gia hạn nộp hồ sơ khai thuế ra sao?
2025-09-03T22:33:57.494042,thue-phi-le-phi,42161a5d-12ed-4479-8ba5-2ddb3894853b,20250903_223357,Cơ quan quản lý thuế có nhiệm vụ gì?
2025-09-03T22:33:58.950593,thue-phi-le-phi,ad714a0a-5da6-4b7a-bb45-b3cc9a1ed868,20250903_223358,Tải Văn bản hợp nhất 93/VBHN-VPQH ngày 22/08/2025 Luật Thuế giá trị gia tăng ở đâu?
2025-09-03T22:33:58.950593,thue-phi-le-phi,de014667-2eeb-49da-8c73-b6ce93d5d736,20250903_223358,Đối tượng nào chịu thuế suất thuế giá trị gia tăng 0%?
2025-09-03T22:33:58.950593,thue-phi-le-phi,bd89b7ec-7089-4767-9e5c-4d1bcd28c08c,20250903_223358,Đối tượng nào chịu thuế suất thuế giá trị gia tăng 5%?
2025-09-03T22:34:00.081166,thue-phi-le-phi,3f35b3e3-175f-4d2b-9a20-a4a5a66b9027,20250903_223400,Toàn văn Nghị định 236 2025 NĐ CP Quy định chi tiết Nghị quyết 107/2023/QH15 về việc áp dụng thuế thu nhập doanh nghiệp bổ sung theo quy định chống xói mòn cơ sở thuế toàn cầu ra sao?
2025-09-03T22:34:00.081166,thue-phi-le-phi,c7b38d70-401e-473e-9a98-3195dc03669f,20250903_223400,Nguyên tắc áp dụng quy định về thuế thu nhập doanh nghiệp bổ sung tối thiểu nội địa đạt chuẩn được quy định ra sao?
2025-09-03T22:34:00.081166,thue-phi-le-phi,4e4c61c4-58d7-449d-865d-e6340c0946b7,20250903_223400,Nguyên tắc áp dụng quy định tổng hợp thu nhập chịu thuế tối thiểu quy định như thế nào?
